INFO 2024-11-09 17:05:12,860 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-09 17:05:12,861 autoreload Waiting for apps ready_event.
DEBUG 2024-11-09 17:05:13,364 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-09 17:05:13,410 autoreload Watching dir C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-11-09 17:05:13,411 autoreload Watching dir C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\adminsortable2\templates with glob **/*.
DEBUG 2024-11-09 17:05:13,411 autoreload Watching dir C:\Users\User\Desktop\project\backend\geko\templates with glob **/*.
DEBUG 2024-11-09 17:05:13,411 autoreload Watching dir C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\drf_spectacular\templates with glob **/*.
DEBUG 2024-11-09 17:05:13,417 autoreload Watching dir C:\Users\User\Desktop\project\backend\geko\locale with glob **/*.mo.
DEBUG 2024-11-09 17:05:13,418 autoreload Watching dir C:\Users\User\Desktop\project\backend\geko\main\locale with glob **/*.mo.
DEBUG 2024-11-09 17:05:13,418 autoreload Watching dir C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-11-09 17:05:13,418 autoreload Watching dir C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-11-09 17:05:13,419 autoreload Watching dir C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-11-09 17:05:13,419 autoreload Watching dir C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\drf_spectacular\locale with glob **/*.mo.
DEBUG 2024-11-09 17:05:13,419 autoreload Watching dir C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\adminsortable2\locale with glob **/*.mo.
DEBUG 2024-11-09 17:05:13,419 autoreload Watching dir C:\Users\User\Desktop\project\backend\geko\main\locale with glob **/*.mo.
DEBUG 2024-11-09 17:05:13,507 utils (0.015) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-11-09 17:05:13,514 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-09 17:05:13,579 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\wsgiref\handlers.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,579 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\xml\dom\minicompat.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,579 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\db\backends\postgresql\schema.py first seen with mtime 1726335450.4928892
DEBUG 2024-11-09 17:05:13,580 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1726335450.353722
DEBUG 2024-11-09 17:05:13,580 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1726335450.3755088
DEBUG 2024-11-09 17:05:13,580 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\email\policy.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,580 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework\response.py first seen with mtime 1726335464.9888089
DEBUG 2024-11-09 17:05:13,581 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\certifi\__init__.py first seen with mtime 1726335445.354537
DEBUG 2024-11-09 17:05:13,581 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\bisect.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,581 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\numbers.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,581 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\template\response.py first seen with mtime 1726335450.6594102
DEBUG 2024-11-09 17:05:13,582 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\wsgiref\util.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,582 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1726335450.35074
DEBUG 2024-11-09 17:05:13,583 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\core\__init__.py first seen with mtime 1726335450.3620007
DEBUG 2024-11-09 17:05:13,583 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\templatetags\static.py first seen with mtime 1726335450.6689942
DEBUG 2024-11-09 17:05:13,583 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1726335450.7140172
DEBUG 2024-11-09 17:05:13,583 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1726335449.9618895
DEBUG 2024-11-09 17:05:13,583 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\db\backends\postgresql\base.py first seen with mtime 1726335450.486377
DEBUG 2024-11-09 17:05:13,583 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1726335450.501951
DEBUG 2024-11-09 17:05:13,583 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1726335450.6874459
DEBUG 2024-11-09 17:05:13,584 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1726335445.0445175
DEBUG 2024-11-09 17:05:13,584 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1726335450.3669994
DEBUG 2024-11-09 17:05:13,584 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\admindocs\__init__.py first seen with mtime 1726335447.77685
DEBUG 2024-11-09 17:05:13,585 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1726335450.562101
DEBUG 2024-11-09 17:05:13,585 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\html\parser.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,585 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework\viewsets.py first seen with mtime 1726335464.9944727
DEBUG 2024-11-09 17:05:13,586 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\adminsortable2\admin.py first seen with mtime 1726577257.8658028
DEBUG 2024-11-09 17:05:13,586 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1726335449.577212
DEBUG 2024-11-09 17:05:13,586 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1726335450.6824453
DEBUG 2024-11-09 17:05:13,587 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\importlib\resources\readers.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,587 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\views\defaults.py first seen with mtime 1726335450.7130175
DEBUG 2024-11-09 17:05:13,587 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1726335449.5827303
DEBUG 2024-11-09 17:05:13,587 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\csv.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,587 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\db\transaction.py first seen with mtime 1726335450.4528136
DEBUG 2024-11-09 17:05:13,587 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\views\debug.py first seen with mtime 1726335450.7130175
DEBUG 2024-11-09 17:05:13,588 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\email\_header_value_parser.py first seen with mtime 1712047374.0
